Type,TypeName,Date,Title,AppropriatePrice,Investment opinion,Offer,File
친환경,두산퓨얼셀,2021.10.29,3Q21 Review: 악재들을 압도할 시장 성장,"71,000원",매수,메리츠증권,599947.pdf
친환경,두산퓨얼셀,2021.07.29,수소경제 방향성은 굳건하다,-원,-,SK증권,595057.pdf
친환경,두산퓨얼셀,2021.07.28,2Q21 Review: 필요한 건 시간,"71,000원",매수,메리츠증권,594938.pdf
친환경,두산퓨얼셀,2021.07.28,정책 발표 이후 수주 공백 해소 기대,"70,000원",매수,하나금융투자,DFC_210728_2Q21Re.pdf
친환경,두산퓨얼셀,2021.04.28,정책이 만든 계절성. 상저하고 기대,"77,000원",매수,하나금융투자,DFC_210428_1Q21Re.pdf
친환경,두산퓨얼셀,2021.04.28,1Q21 Review: 거쳐야만 하는 길,"71,000원",매수,메리츠증권,588035.pdf
친환경,두산퓨얼셀,2021.02.05,실적보다 중요한 기대감,"77,000원",매수,하나금융투자,DFC_210205_4Q20Re.pdf
친환경,두산퓨얼셀,2020.10.22,새로운 규제에 대한 기대,"70,000원",매수,하나금융투자,DFC_201022_3Q20Re.pdf
친환경,두산퓨얼셀,2020.09.17,케세라세라,"70,000원",매수,하나금융투자,DFC_200917_2Q20Re.pdf
친환경,두산퓨얼셀,2020.05.07,계절성에 의한 영업적자,"10,000원",매수(유지),하나금융투자,DFC_200507_1Q20Re.pdf
친환경,두산퓨얼셀,2019.10.18,독보적인 발전용 연료전지 전문 기업,-원,매수,SK증권,C005_UNIT_20191017153334_2502058.pdf
친환경,한화솔루션,2021.11.01,케미칼에 기대보는 남은 하반기,"56,000원",매수(유지),SK증권,600093.pdf
친환경,한화솔루션,2021.10.29,2021 년 태양광부문 Bottom,"54,000원",매수,메리츠증권,599982.pdf
친환경,한화솔루션,2021.10.29,PVC/가성소다/EVA의 콜라보 ,"60,000원",매수(유지),키움증권,기업브리프-한화솔루션-20211029.pdf
친환경,한화솔루션,2021.10.19,변화하고 있는 첨단소재부문 ,"60,000원",매수(유지),키움증권,기업브리프-한화솔루션-20211019.pdf
친환경,한화솔루션,2021.10.05,"가성소다 가격, 연초 대비 95% 상승 ","60,000원",매수(유지),키움증권,기업브리프-한화솔루션-20211005.pdf
친환경,한화솔루션,2021.09.10,중국(화학)-미국(태양광)의 긍정적 나비효과,"54,000원",매수,메리츠증권,597648.pdf
친환경,한화솔루션,2021.07.30,태양광 턴어라운드 시점까지 관망,"45,000원",Neutral,하나금융투자,HHS_2Q21_Review_20210730_Final.pdf
친환경,한화솔루션,2021.07.05,고비를 넘기면 빛날 투자,"56,000원",매수,SK증권,593100.pdf
친환경,한화솔루션,2021.06.09,YNCC/한화종합화학의 가치를 고려할 필요가 있다,"68,000원",매수(유지),키움증권,기업브리프-한화솔루션-20210608.pdf
친환경,한화솔루션,2021.06.08,YNCC/한화종합화학의 가치를 고려할 필요가 있다,"68,000원",매수(유지),키움증권,기업브리프-한화솔루션-20210608.pdf
친환경,한화솔루션,2021.05.12,"올해 1분기 당기순이익, 작년 연간 수치 상회","68,000원",매수(유지),키움증권,기업브리프-한화솔루션-20210512.pdf
친환경,한화솔루션,2021.03.30,사람이 독해졌다,"68,000원",매수(유지),키움증권,기업브리프-한화솔루션-20210330.pdf
친환경,한화솔루션,2021.03.25,"PVC/LDPE, 역대 최대 실적 기록 중","68,000원",매수(유지),키움증권,기업브리프-한화솔루션-20210325.pdf
친환경,한화솔루션,2021.02.19,그래도 밝은 미래가 있기에,"69,000원",매수,DB금융투자,20210219_009830_150205_296.pdf
친환경,한화솔루션,2021.02.19,역사적 Valuation 고점을 넘길 태양광 실적이 필요,"66,000원",매수,하나금융투자,HHSolution_4Q20_Review_20210219.pdf
친환경,한화솔루션,2021.01.27,태양광-수소 기반의 성장 Story 진행 중,"63,000원",매수,메리츠증권,581294.pdf
친환경,한화솔루션,2020.12.30,변화와 도전의 서막,"65,000원",매수,현대차증권,한화솔루션_변화와 도전의 서막.pdf
친환경,한화솔루션,2020.12.23,미래를 위한 투자,"64,000원",매수(유지),DB금융투자,한화솔루션_미래를 위한 투자.pdf
친환경,한화솔루션,2020.12.22,미래를 위한 투자,"64,000원",매수(유지),DB금융투자,20201229_009830_150205_290.pdf
친환경,한화솔루션,2020.11.11,여전히 꿈을 크게 가져도 좋다,"64,000원",매수(유지),DB금융투자,20201111_009830_150205_285.pdf
친환경,한화솔루션,2020.11.11,최근 높아진 시장 기대치를 상회 ,"63,000원",매수(유지),키움증권,기업브리프-한화솔루션-20201111.pdf
친환경,한화솔루션,2020.11.11,석유화학 호조로 컨센 20% 상회,"66,000원",매수,하나금융투자,HHSolution_3Q20 Review_20201111.pdf
친환경,한화솔루션,2020.09.23,니콜라가 무너져도 펀더멘털은 덮을 수 없다.,"50,000원",매수(유지),교보증권,20200922_009830_150205_276.pdf
친환경,한화솔루션,2020.09.22,니콜라가 무너져도 펀더멘털은 덮을 수 없다,"50,000원",매수(유지),DB금융투자,20200922_009830_150205_276.pdf
